year,award,league,bbref_id,name,team,points,votes_first,share_first,WAR,G,AB,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS,W,L,ERA,WHIP,G_p,GS,SV,IP,H_p,HR_p,BB_p,SO_p
2012,CYA,AL,priceda01,David Price,TBR,153.0,14.0,78%,6.6,20,5,.800,2.56,31,31,0,2,1,0,211.0,173,63,60,16,59,2,205,5,1,8,836,1.100,150
2012,CYA,AL,verlaju01,Justin Verlander,DET,149.0,13.0,76%,8.1,17,8,.680,2.64,33,33,0,6,1,0,238.1,192,81,70,19,60,2,239,5,1,2,956,1.057,161
2012,CYA,AL,weaveje02,Jered Weaver,LAA,70.0,0.0,36%,4.3,20,5,.800,2.81,30,30,0,3,2,0,188.2,147,63,59,20,45,0,142,4,0,2,739,1.018,135
2012,CYA,AL,hernafe02,Felix Hernandez,SEA,41.0,0.0,21%,5.3,13,9,.591,3.06,33,33,0,5,5,0,232.0,209,84,79,14,56,0,223,12,2,13,939,1.142,124
2012,CYA,AL,rodnefe01,Fernando Rodney,TBR,38.0,1.0,19%,3.7,2,2,.500,0.60,76,0,65,0,0,48,74.2,43,9,5,2,15,1,76,3,0,4,282,0.777,641
2012,CYA,AL,salech01,Chris Sale,CHW,17.0,0.0,9%,5.7,17,8,.680,3.05,30,29,0,1,0,0,192.0,167,66,65,19,51,5,192,6,0,6,772,1.135,140
2012,CYA,AL,johnsji04,Jim Johnson,BAL,5.0,0.0,3%,2.4,2,1,.667,2.49,71,0,63,0,0,51,68.2,55,21,19,3,15,1,41,3,0,1,269,1.019,170
2012,CYA,AL,harrima01,Matt Harrison,TEX,2.0,0.0,1%,5.8,18,11,.621,3.29,32,32,0,4,2,0,213.1,210,82,78,22,59,0,133,1,0,2,876,1.261,133
2012,CYA,AL,darviyu01,Yu Darvish,TEX,1.0,0.0,1%,3.5,16,9,.640,3.90,29,29,0,0,0,0,191.1,156,89,83,14,89,1,221,10,0,8,816,1.280,112
2012,CYA,NL,dicker.01,R.A. Dickey,NYM,209.0,27.0,93%,5.7,20,6,.769,2.73,34,33,1,5,3,0,233.2,192,78,71,24,54,2,230,9,1,4,927,1.053,139
