year,award,league,bbref_id,name,team,points,votes_first,share_first,WAR,G,AB,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS,W,L,ERA,WHIP,G_p,GS,SV,IP,H_p,HR_p,BB_p,SO_p
2018,CYA,AL,snellbl01,Blake Snell,TBR,169.0,17.0,80%,7.1,21,5,.808,1.89,31,31,0,0,0,0,180.2,112,41,38,16,64,2,221,1,0,13,700,0.974,217
2018,CYA,AL,verlaju01,Justin Verlander,HOU,154.0,13.0,73%,6.9,16,9,.640,2.52,34,34,0,1,1,0,214.0,156,63,60,28,37,0,290,8,2,5,833,0.902,164
2018,CYA,AL,klubeco01,Corey Kluber,CLE,71.0,0.0,34%,5.7,20,7,.741,2.89,33,33,0,2,1,0,215.0,179,75,69,25,34,0,222,3,0,2,842,0.991,150
2018,CYA,AL,salech01,Chris Sale,BOS,59.0,0.0,28%,6.9,12,4,.750,2.11,27,27,0,0,0,0,158.0,102,39,37,11,34,0,237,14,0,4,617,0.861,209
2018,CYA,AL,colege01,Gerrit Cole,HOU,26.0,0.0,12%,5.7,15,5,.750,2.88,32,32,0,1,1,0,200.1,143,68,64,19,64,0,276,7,0,9,799,1.033,144
2018,CYA,AL,bauertr01,Trevor Bauer,CLE,13.0,0.0,6%,5.8,12,6,.667,2.21,28,27,1,0,0,1,175.1,134,51,43,9,57,2,221,9,0,12,717,1.089,196
2018,CYA,AL,treinbl01,Blake Treinen,OAK,13.0,0.0,6%,4.1,9,2,.818,0.78,68,0,58,0,0,38,80.1,46,12,7,2,21,3,100,1,0,6,315,0.834,531
2018,CYA,AL,diazed04,Edwin Diaz,SEA,4.0,0.0,2%,3.3,0,4,.000,1.96,73,0,65,0,0,57,73.1,41,17,16,5,17,0,124,6,1,3,280,0.791,208
2018,CYA,AL,severlu01,Luis Severino,NYY,1.0,0.0,0%,4.1,19,8,.704,3.39,32,32,0,1,1,0,191.1,173,76,72,19,46,0,220,5,0,8,780,1.145,124
2018,CYA,NL,degroja01,Jacob deGrom,NYM,207.0,29.0,99%,9.9,10,9,.526,1.70,32,32,0,1,0,0,217.0,152,48,41,10,46,3,269,5,0,2,835,0.912,218
2018,CYA,NL,scherma01,Max Scherzer,WSN,123.0,1.0,59%,8.4,18,7,.720,2.53,33,33,0,2,1,0,220.2,150,66,62,23,51,4,300,12,1,4,866,0.911,168
2018,CYA,NL,nolaaa01,Aaron Nola,PHI,86.0,0.0,41%,10.2,17,6,.739,2.37,33,33,0,0,0,0,212.1,149,57,56,17,58,3,224,7,1,4,831,0.975,173
2018,CYA,NL,freelky01,Kyle Freeland,COL,49.0,0.0,23%,8.3,17,7,.708,2.85,33,33,0,0,0,0,202.1,182,64,64,17,70,2,173,6,0,2,844,1.245,166
2018,CYA,NL,corbipa01,Patrick Corbin,ARI,23.0,0.0,11%,3.9,11,7,.611,3.15,33,33,0,1,1,0,200.0,162,70,70,15,48,3,246,5,0,8,800,1.050,133
