year,award,league,bbref_id,name,team,points,votes_first,share_first,WAR,G,AB,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS,W,L,ERA,WHIP,G_p,GS,SV,IP,H_p,HR_p,BB_p,SO_p
2021,CYA,AL,rayro02,Robbie Ray,TOR,207.0,29.0,99%,6.7,13,7,.650,2.84,32,32,0,0,0,0,193.1,150,62,61,33,52,0,248,4,0,5,773,1.045,154
2021,CYA,AL,colege01,Gerrit Cole,NYY,123.0,1.0,59%,5.7,16,8,.667,3.23,30,30,0,2,1,0,181.1,151,69,65,24,41,0,243,2,1,5,726,1.059,133
2021,CYA,AL,lynnla01,Lance Lynn,CHW,48.0,0.0,23%,5.4,11,6,.647,2.69,28,28,0,1,1,0,157.0,123,52,47,18,45,2,176,2,0,5,641,1.070,161
2021,CYA,AL,eovalna01,Nathan Eovaldi,BOS,41.0,0.0,20%,4.6,11,9,.550,3.75,32,32,0,0,0,0,182.1,182,81,76,15,35,2,195,7,0,6,764,1.190,126
2021,CYA,AL,rodonca01,Carlos Rodon,CHW,34.0,0.0,16%,5.0,13,5,.722,2.37,24,24,0,1,1,0,132.2,91,39,35,13,36,1,185,8,0,7,534,0.957,183
2021,CYA,AL,montafr02,Frankie Montas,OAK,21.0,0.0,10%,3.7,13,9,.591,3.37,32,32,0,0,0,0,187.0,164,79,70,20,57,1,207,7,0,11,778,1.182,121
2021,CYA,AL,mcculla02,Lance McCullers Jr.,HOU,14.0,0.0,7%,3.5,13,5,.722,3.16,28,28,0,0,0,0,162.1,122,59,57,13,76,0,185,10,0,7,684,1.220,136
2021,CYA,AL,hendrli01,Liam Hendriks,CHW,10.0,0.0,5%,2.6,8,3,.727,2.54,69,0,58,0,0,38,71.0,45,23,20,11,7,1,113,1,0,6,267,0.732,171
2021,CYA,AL,berrijo01,Jose Berrios,TOT,8.0,0.0,4%,3.3,12,9,.571,3.52,32,32,0,1,0,0,192.0,159,83,75,22,45,0,204,15,0,3,781,1.063,122
2021,CYA,AL,bassich01,Chris Bassitt,OAK,2.0,0.0,1%,4.0,12,4,.750,3.15,27,27,0,1,1,0,157.1,127,55,55,15,39,1,159,11,1,5,637,1.055,130
2021,CYA,AL,giolilu01,Lucas Giolito,CHW,1.0,0.0,0%,4.3,11,9,.550,3.53,31,31,0,1,0,0,178.2,145,74,70,27,52,1,201,2,0,12,720,1.103,123
2021,CYA,AL,iglesra01,Raisel Iglesias,LAA,1.0,0.0,0%,2.8,7,5,.583,2.57,65,0,59,0,0,34,70.0,53,25,20,11,12,0,103,1,1,2,273,0.929,174
2021,CYA,NL,burneco01,Corbin Burnes,MIL,151.0,12.0,72%,5.6,11,5,.688,2.43,28,28,0,0,0,0,167.0,123,47,45,7,34,0,234,6,0,5,657,0.940,176
2021,CYA,NL,wheelza01,Zack Wheeler,PHI,141.0,12.0,67%,7.6,14,10,.583,2.78,32,32,0,3,2,0,213.1,169,72,66,16,46,1,247,8,0,6,849,1.008,150
2021,CYA,NL,scherma01,Max Scherzer,TOT,113.0,6.0,54%,6.0,15,4,.789,2.46,30,30,0,1,0,0,179.1,119,53,49,23,36,0,236,10,0,2,693,0.864,166
