year,award,league,bbref_id,name,team,points,votes_first,share_first,WAR,G,AB,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS,W,L,ERA,WHIP,G_p,GS,SV,IP,H_p,HR_p,BB_p,SO_p
2019,CYA,AL,verlaju01,Justin Verlander,HOU,171.0,17.0,81%,7.4,21,6,.778,2.58,34,34,0,2,1,0,223.0,137,66,64,36,42,0,300,6,0,4,847,0.803,179
2019,CYA,AL,colege01,Gerrit Cole,HOU,159.0,13.0,76%,6.6,20,5,.800,2.50,33,33,0,0,0,0,212.1,142,66,59,29,48,0,326,3,3,4,817,0.895,185
2019,CYA,AL,mortoch02,Charlie Morton,TBR,75.0,0.0,36%,4.8,16,6,.727,3.05,33,33,0,0,0,0,194.2,154,71,66,15,57,0,240,12,1,5,790,1.084,144
2019,CYA,AL,biebesh01,Shane Bieber,CLE,64.0,0.0,30%,4.7,15,8,.652,3.28,34,33,1,3,2,0,214.1,186,86,78,31,40,1,259,6,1,6,859,1.054,144
2019,CYA,AL,lynnla01,Lance Lynn,TEX,18.0,0.0,9%,7.5,16,11,.593,3.67,33,33,0,0,0,0,208.1,195,89,85,21,59,0,246,8,0,18,875,1.219,141
2019,CYA,AL,giolilu01,Lucas Giolito,CHW,8.0,0.0,4%,5.8,14,9,.609,3.41,29,29,0,3,2,0,176.2,131,69,67,24,57,1,228,4,0,6,705,1.064,134
2019,CYA,AL,rodried05,Eduardo Rodriguez,BOS,8.0,0.0,4%,6.1,19,6,.760,3.81,34,34,0,0,0,0,203.1,195,88,86,24,75,2,213,7,0,3,859,1.328,128
2019,CYA,AL,minormi01,Mike Minor,TEX,7.0,0.0,3%,7.8,14,10,.583,3.59,32,32,0,2,1,0,208.1,190,86,83,30,68,1,200,7,0,2,863,1.238,144
2019,CYA,NL,degroja01,Jacob deGrom,NYM,207.0,29.0,99%,7.9,11,8,.579,2.43,32,32,0,0,0,0,204.0,154,59,55,19,44,1,255,7,0,2,804,0.971,169
2019,CYA,NL,ryuhy01,Hyun Jin Ryu,LAD,88.0,1.0,42%,4.8,14,5,.737,2.32,29,29,0,1,1,0,182.2,160,53,47,17,24,2,163,4,0,0,723,1.007,179
2019,CYA,NL,scherma01,Max Scherzer,WSN,72.0,0.0,34%,5.5,11,7,.611,2.92,27,27,0,0,0,0,172.1,144,59,56,18,33,2,243,7,0,0,693,1.027,154
2019,CYA,NL,flaheja01,Jack Flaherty,STL,69.0,0.0,33%,5.5,11,8,.579,2.75,33,33,0,0,0,0,196.1,135,62,60,25,55,2,231,7,0,6,772,0.968,152
2019,CYA,NL,strasst01,Stephen Strasburg,WSN,53.0,0.0,25%,6.0,18,6,.750,3.32,33,33,0,0,0,0,209.0,161,79,77,24,56,4,251,10,0,8,841,1.038,135
2019,CYA,NL,sorokmi01,Mike Soroka,ATL,9.0,0.0,4%,5.8,13,4,.765,2.68,29,29,0,0,0,0,174.2,153,56,52,14,41,1,142,7,0,3,701,1.111,171
