year,award,league,bbref_id,name,team,points,votes_first,share_first,WAR,G,AB,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS,W,L,ERA,WHIP,G_p,GS,SV,IP,H_p,HR_p,BB_p,SO_p
2014,CYA,AL,klubeco01,Corey Kluber,CLE,169.0,17.0,80%,8.1,18,9,.667,2.44,34,34,0,3,1,0,235.2,207,72,64,14,51,3,269,6,0,3,951,1.095,160
2014,CYA,AL,hernafe02,Felix Hernandez,SEA,159.0,13.0,76%,6.4,15,6,.714,2.14,34,34,0,0,0,0,236.0,170,68,56,16,46,1,248,5,0,18,912,0.915,170
2014,CYA,AL,salech01,Chris Sale,CHW,78.0,0.0,37%,6.1,12,4,.750,2.17,26,26,0,2,0,0,174.0,129,48,42,13,39,2,208,11,0,3,685,0.966,173
2014,CYA,AL,lestejo01,Jon Lester,TOT,46.0,0.0,22%,4.6,16,11,.593,2.46,32,32,0,1,1,0,219.2,194,76,60,16,48,0,220,5,0,3,885,1.102,158
2014,CYA,AL,scherma01,Max Scherzer,DET,32.0,0.0,15%,5.8,18,5,.783,3.15,33,33,0,1,1,0,220.1,196,80,77,18,63,1,252,6,1,10,904,1.175,123
2014,CYA,AL,priceda01,David Price,TOT,16.0,0.0,8%,4.4,15,12,.556,3.26,34,34,0,3,0,0,248.1,230,100,90,25,38,1,271,5,0,2,1009,1.079,115
2014,CYA,AL,hugheph01,Phil Hughes,MIN,6.0,0.0,3%,4.6,16,10,.615,3.52,32,32,0,1,0,0,209.2,221,88,82,16,16,1,186,5,0,1,855,1.130,111
2014,CYA,AL,daviswa01,Wade Davis,KCR,3.0,0.0,1%,3.8,9,2,.818,1.00,71,0,11,0,0,3,72.0,38,8,8,0,23,0,109,3,0,1,279,0.847,396
2014,CYA,AL,hollagr01,Greg Holland,KCR,1.0,0.0,0%,2.6,1,3,.250,1.44,65,0,60,0,0,46,62.1,37,13,10,3,20,0,90,0,0,9,240,0.914,274
2014,CYA,NL,kershcl01,Clayton Kershaw,LAD,210.0,30.0,100%,7.7,21,3,.875,1.77,27,27,0,6,2,0,198.1,139,42,39,9,31,0,239,2,2,7,749,0.857,197
2014,CYA,NL,cuetojo01,Johnny Cueto,CIN,112.0,0.0,53%,6.6,20,9,.690,2.25,34,34,0,4,2,0,243.2,169,69,61,22,65,2,242,15,1,1,961,0.960,163
2014,CYA,NL,wainwad01,Adam Wainwright,STL,97.0,0.0,46%,6.1,20,9,.690,2.38,32,32,0,5,3,0,227.0,184,64,60,10,50,5,179,7,1,4,898,1.031,153
2014,CYA,NL,bumgama01,Madison Bumgarner,SFG,28.0,0.0,13%,3.7,18,10,.643,2.98,33,33,0,4,2,0,217.1,194,81,72,21,43,3,219,6,1,4,873,1.090,116
2014,CYA,NL,zimmejo02,Jordan Zimmermann,WSN,25.0,0.0,12%,4.7,14,5,.737,2.66,32,32,0,3,2,0,199.2,185,67,59,13,29,0,182,6,0,4,800,1.072,141
2014,CYA,NL,hamelco01,Cole Hamels,PHI,17.0,0.0,8%,6.4,9,9,.500,2.46,30,30,0,0,0,0,204.2,176,60,56,14,59,3,198,8,1,6,829,1.148,152
2014,CYA,NL,greinza01,Zack Greinke,LAD,6.0,0.0,3%,4.5,17,8,.680,2.71,32,32,0,0,0,0,202.1,190,69,61,19,43,3,207,2,0,12,821,1.152,129
2014,CYA,NL,fistedo01,Doug Fister,WSN,5.0,0.0,2%,4.4,16,6,.727,2.41,25,25,0,1,1,0,164.0,153,52,44,18,24,0,98,7,0,5,662,1.079,155
2014,CYA,NL,arrieja01,Jake Arrieta,CHC,3.0,0.0,1%,5.3,10,5,.667,2.53,25,25,0,1,1,0,156.2,114,46,44,5,41,2,167,3,0,8,614,0.989,150
2014,CYA,NL,kimbrcr01,Craig Kimbrel,ATL,3.0,0.0,1%,2.5,0,3,.000,1.61,63,0,54,0,0,47,61.2,30,13,11,2,26,0,95,2,0,6,244,0.908,223
2014,CYA,NL,strasst01,Stephen Strasburg,WSN,3.0,0.0,1%,3.3,14,11,.560,3.14,34,34,0,0,0,0,215.0,198,86,75,23,43,4,242,5,0,7,868,1.121,119
2014,CYA,NL,alvarhe01,Henderson Alvarez III,MIA,1.0,0.0,0%,4.7,12,7,.632,2.65,30,30,0,3,3,0,187.0,198,65,55,14,33,3,111,8,0,4,772,1.235,140
2014,MVP,AL,troutmi01,Mike Trout,LAA,420.0,30.0,100%,7.7,157,602,115,173,36,111,16,83,.287,.377,.561,.939,,,,,,,,,,,,
2014,MVP,AL,martivi01,Victor Martinez,DET,229.0,0.0,55%,5.5,151,561,87,188,32,103,3,70,.335,.409,.565,.974,,,,,,,,,,,,
2014,MVP,AL,brantmi02,Michael Brantley,CLE,191.0,0.0,45%,7.0,156,611,94,200,20,97,23,52,.327,.385,.506,.890,,,,,,,,,,,,
2014,MVP,AL,abreujo02,José Abreu,CHW,145.0,0.0,35%,5.8,145,556,80,176,36,107,3,51,.317,.383,.581,.964,,,,,,,,,,,,
2014,MVP,AL,canoro01,Robinson Cano,SEA,124.0,0.0,30%,6.3,157,595,77,187,14,82,10,61,.314,.382,.454,.836,,,,,,,,,,,,
2014,MVP,AL,bautijo02,Jose Bautista,TOR,122.0,0.0,29%,6.9,155,553,101,158,35,103,6,104,.286,.403,.524,.928,,,,,,,,,,,,
2014,MVP,AL,cruzne02,Nelson Cruz,BAL,102.0,0.0,24%,4.5,159,613,87,166,40,108,4,55,.271,.333,.525,.859,,,,,,,,,,,,
2014,MVP,AL,donaljo02,Josh Donaldson,OAK,96.0,0.0,23%,6.9,158,608,93,155,29,98,8,76,.255,.342,.456,.798,,,,,,,,,,,,
2014,MVP,AL,cabremi01,Miguel Cabrera,DET,82.0,0.0,20%,5.1,159,611,101,191,25,109,1,60,.313,.371,.524,.895,,,,,,,,,,,,
2014,MVP,AL,hernafe02,Felix Hernandez,SEA,48.0,0.0,11%,6.3,1,2,0,0,0,0,0,0,.000,.000,.000,.000,15,6,2.14,0.915,34,34,0,236.0,170,16,46,248
2014,MVP,AL,klubeco01,Corey Kluber,CLE,45.0,0.0,11%,8.1,4,5,0,1,0,0,0,0,.200,.200,.200,.400,18,9,2.44,1.095,34,34,0,235.2,207,14,51,269
