year,award,league,bbref_id,name,team,points,votes_first,share_first,WAR,G,AB,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS,W,L,ERA,WHIP,G_p,GS,SV,IP,H_p,HR_p,BB_p,SO_p
2020,CYA,AL,biebesh01,Shane Bieber,CLE,210.0,30.0,100%,3.2,8,1,.889,1.63,12,12,0,0,0,0,77.1,46,15,14,7,21,0,122,1,0,5,297,0.866,273
2020,CYA,AL,maedake01,Kenta Maeda,MIN,92.0,0.0,44%,1.6,6,1,.857,2.70,11,11,0,0,0,0,66.2,40,20,20,9,10,0,80,0,0,0,248,0.750,160
2020,CYA,AL,ryuhy01,Hyun Jin Ryu,TOR,51.0,0.0,24%,2.9,5,2,.714,2.69,12,12,0,0,0,0,67.0,60,22,20,6,17,0,72,1,0,1,275,1.149,164
2020,CYA,AL,colege01,Gerrit Cole,NYY,50.0,0.0,24%,2.1,7,3,.700,2.84,12,12,0,2,1,0,73.0,53,27,23,14,17,0,94,2,0,2,288,0.959,151
2020,CYA,AL,keuchda01,Dallas Keuchel,CHW,46.0,0.0,22%,2.1,6,2,.750,1.99,11,11,0,0,0,0,63.1,52,15,14,2,17,0,42,0,0,0,257,1.089,224
2020,CYA,AL,lynnla01,Lance Lynn,TEX,22.0,0.0,10%,2.1,6,3,.667,3.32,13,13,0,1,0,0,84.0,64,34,31,13,25,0,89,6,0,2,344,1.060,135
2020,CYA,AL,giolilu01,Lucas Giolito,CHW,18.0,0.0,9%,0.8,4,3,.571,3.48,12,12,0,1,1,0,72.1,47,31,28,8,28,0,97,2,0,3,288,1.037,128
2020,CYA,AL,bassich01,Chris Bassitt,OAK,10.0,0.0,5%,2.3,5,2,.714,2.29,11,11,0,0,0,0,63.0,56,18,16,6,17,0,55,2,0,2,261,1.159,183
2020,CYA,AL,bundydy01,Dylan Bundy,LAA,5.0,0.0,2%,1.7,6,3,.667,3.29,11,11,0,1,0,0,65.2,51,27,24,5,17,1,72,4,0,2,267,1.036,138
2020,CYA,AL,hendrli01,Liam Hendriks,OAK,5.0,0.0,2%,1.5,3,1,.750,1.78,24,0,20,0,0,14,25.1,14,6,5,1,3,1,37,0,0,0,92,0.671,238
2020,CYA,AL,valdefr01,Framber Valdez,HOU,1.0,0.0,0%,1.2,5,3,.625,3.57,11,10,0,0,0,0,70.2,63,32,28,5,16,0,76,5,1,6,288,1.118,125
2020,CYA,NL,bauertr01,Trevor Bauer,CIN,201.0,27.0,96%,2.9,5,4,.556,1.73,11,11,0,2,2,0,73.0,41,17,14,9,17,1,100,3,0,3,278,0.795,284
2020,CYA,NL,darviyu01,Yu Darvish,CHC,123.0,3.0,59%,2.8,8,3,.727,2.01,12,12,0,0,0,0,76.0,59,18,17,5,14,1,93,2,0,3,297,0.961,224
2020,CYA,NL,degroja01,Jacob deGrom,NYM,89.0,0.0,42%,2.7,4,2,.667,2.38,12,12,0,0,0,0,68.0,47,21,18,7,18,0,104,0,0,4,268,0.956,180
2020,CYA,NL,lametdi01,Dinelson Lamet,SDP,57.0,0.0,27%,2.3,3,1,.750,2.09,12,12,0,0,0,0,69.0,39,18,16,5,20,0,93,4,0,1,267,0.855,201
2020,CYA,NL,friedma01,Max Fried,ATL,15.0,0.0,7%,2.9,7,0,1.000,2.25,11,11,0,0,0,0,56.0,42,14,14,2,19,0,50,4,1,1,224,1.089,208
2020,CYA,NL,burneco01,Corbin Burnes,MIL,12.0,0.0,6%,2.1,4,1,.800,2.11,12,9,2,0,0,0,59.2,37,15,14,2,24,0,88,3,0,5,240,1.022,216
2020,CYA,NL,nolaaa01,Aaron Nola,PHI,3.0,0.0,1%,2.1,5,5,.500,3.28,12,12,0,2,1,0,71.1,54,31,26,9,23,2,96,2,0,1,289,1.079,137
2020,CYA,NL,willide03,Devin Williams,MIL,3.0,0.0,1%,1.2,4,1,.800,0.33,22,0,1,0,0,0,27.0,8,4,1,1,9,0,53,1,0,3,100,0.630,1375
2020,CYA,NL,galleza01,Zac Gallen,ARI,2.0,0.0,1%,2.5,3,2,.600,2.75,12,12,0,0,0,0,72.0,55,24,22,9,25,0,82,2,0,4,291,1.111,164
2020,CYA,NL,hendrky01,Kyle Hendricks,CHC,2.0,0.0,1%,2.1,6,5,.545,2.88,12,12,0,1,1,0,81.1,73,26,26,10,8,1,64,1,0,1,315,0.996,156
2020,CYA,NL,kershcl01,Clayton Kershaw,LAD,2.0,0.0,1%,1.7,6,2,.750,2.16,10,10,0,0,0,0,58.1,41,18,14,8,8,0,62,1,0,0,221,0.840,202
2020,CYA,NL,wheelza01,Zack Wheeler,PHI,1.0,0.0,0%,2.8,4,2,.667,2.92,11,11,0,0,0,0,71.0,67,26,23,3,16,2,53,7,0,0,288,1.169,154
2020,MVP,AL,abreujo02,José Abreu,CHW,374.0,21.0,89%,3.0,60,240,43,76,19,60,0,18,.317,.370,.617,.987,,,,,,,,,,,,
2020,MVP,AL,ramirjo01,Jose Ramirez,CLE,303.0,8.0,72%,2.4,58,219,45,64,17,46,10,31,.292,.386,.607,.993,,,,,,,,,,,,
2020,MVP,AL,lemahdj01,DJ LeMahieu,NYY,230.0,1.0,55%,3.1,50,195,41,71,10,27,3,18,.364,.421,.590,1.011,,,,,,,,,,,,
2020,MVP,AL,biebesh01,Shane Bieber,CLE,173.0,0.0,41%,3.2,0,0,0,0,0,0,0,0,,,,,8,1,1.63,0.866,12,12,0,77.1,46,7,21,122
2020,MVP,AL,troutmi01,Mike Trout,LAA,172.0,0.0,41%,1.8,53,199,41,56,17,46,1,35,.281,.390,.603,.993,,,,,,,,,,,,
