year,award,league,bbref_id,name,team,points,votes_first,share_first,WAR,G,AB,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS,W,L,ERA,WHIP,G_p,GS,SV,IP,H_p,HR_p,BB_p,SO_p
2016,CYA,AL,porceri01,Rick Porcello,BOS,137.0,8.0,65%,4.7,22,4,.846,3.15,33,33,0,3,0,0,223.0,193,85,78,23,32,0,189,13,0,3,890,1.009,142
2016,CYA,AL,verlaju01,Justin Verlander,DET,132.0,14.0,63%,7.4,16,9,.640,3.04,34,34,0,2,0,0,227.2,171,81,77,30,57,1,254,8,0,6,903,1.001,140
2016,CYA,AL,klubeco01,Corey Kluber,CLE,98.0,3.0,47%,5.6,18,9,.667,3.14,32,32,0,3,2,0,215.0,170,82,75,22,57,1,227,7,1,5,860,1.056,144
2016,CYA,AL,brittza01,Zack Britton,BAL,72.0,5.0,34%,4.1,2,1,.667,0.54,69,0,63,0,0,47,67.0,38,7,4,1,18,3,74,0,0,10,254,0.836,803
2016,CYA,AL,salech01,Chris Sale,CHW,40.0,0.0,19%,4.9,17,10,.630,3.34,32,32,0,6,1,0,226.2,190,88,84,27,45,2,233,17,0,2,907,1.037,121
2016,CYA,AL,happja01,J.A. Happ,TOR,14.0,0.0,7%,4.5,20,4,.833,3.18,32,32,0,0,0,0,195.0,168,72,69,22,60,0,163,6,2,3,796,1.169,134
2016,CYA,AL,sanchaa01,Aaron Sanchez,TOR,6.0,0.0,3%,5.1,15,2,.882,3.00,30,30,0,0,0,0,192.0,161,69,64,15,63,0,161,5,0,5,790,1.167,142
2016,CYA,AL,tanakma01,Masahiro Tanaka,NYY,6.0,0.0,3%,5.2,14,4,.778,3.07,31,31,0,0,0,0,199.2,179,75,68,22,36,0,165,3,0,7,805,1.077,140
2016,CYA,AL,millean01,Andrew Miller,TOT,3.0,0.0,1%,3.8,10,1,.909,1.45,70,0,23,0,0,12,74.1,42,13,12,8,9,0,123,2,0,1,275,0.686,304
2016,CYA,AL,fulmemi01,Michael Fulmer,DET,1.0,0.0,0%,5.4,11,7,.611,3.06,26,26,0,1,1,0,159.0,136,57,54,16,42,1,132,9,1,1,647,1.119,139
2016,CYA,AL,quintjo01,Jose Quintana,CHW,1.0,0.0,0%,5.3,13,12,.520,3.20,32,32,0,0,0,0,208.0,192,76,74,22,50,1,181,4,1,10,837,1.163,126
2016,CYA,NL,scherma01,Max Scherzer,WSN,192.0,25.0,91%,6.2,20,7,.741,2.96,34,34,0,1,0,0,228.1,165,77,75,31,56,2,284,6,1,2,902,0.968,144
2016,CYA,NL,lestejo01,Jon Lester,CHC,102.0,1.0,49%,5.6,19,5,.792,2.44,32,32,0,2,0,0,202.2,154,57,55,21,52,0,197,6,0,4,796,1.016,171
2016,CYA,NL,hendrky01,Kyle Hendricks,CHC,85.0,2.0,40%,5.4,16,8,.667,2.13,31,30,0,2,1,0,190.0,142,53,45,15,44,3,170,8,0,5,745,0.979,196
2016,CYA,NL,bumgama01,Madison Bumgarner,SFG,46.0,0.0,22%,4.8,15,9,.625,2.74,34,34,0,4,1,0,226.2,179,79,69,26,54,0,251,8,1,4,912,1.028,146
