year,award,league,bbref_id,name,team,points,votes_first,share_first,WAR,G,AB,R,H,HR,RBI,SB,BB,AVG,OBP,SLG,OPS,W,L,ERA,WHIP,G_p,GS,SV,IP,H_p,HR_p,BB_p,SO_p
2015,CYA,AL,keuchda01,Dallas Keuchel,HOU,186.0,22.0,89%,6.5,20,8,.714,2.48,33,33,0,3,2,0,232.0,185,68,64,17,51,0,216,2,0,9,911,1.017,157
2015,CYA,AL,priceda01,David Price,TOT,143.0,8.0,68%,6.3,18,5,.783,2.45,32,32,0,3,1,0,220.1,190,70,60,17,47,2,225,3,0,4,888,1.076,164
2015,CYA,AL,grayso01,Sonny Gray,OAK,82.0,0.0,39%,5.4,14,7,.667,2.73,31,31,0,3,2,0,208.0,166,71,63,17,59,0,169,2,0,13,831,1.082,143
2015,CYA,AL,salech01,Chris Sale,CHW,30.0,0.0,14%,3.4,13,11,.542,3.41,31,31,0,1,0,0,208.2,185,88,79,23,42,0,274,13,0,7,854,1.088,114
2015,CYA,AL,archech01,Chris Archer,TBR,29.0,0.0,14%,3.9,12,13,.480,3.23,34,34,0,1,1,0,212.0,175,85,76,19,66,0,252,3,0,13,868,1.137,121
2015,CYA,AL,daviswa01,Wade Davis,KCR,10.0,0.0,5%,3.5,8,1,.889,0.94,69,0,24,0,0,17,67.1,33,8,7,3,20,1,78,0,0,1,251,0.787,448
2015,CYA,AL,hernafe02,Felix Hernandez,SEA,9.0,0.0,4%,4.6,18,9,.667,3.53,31,31,0,2,2,0,201.2,180,80,79,23,58,0,191,9,0,10,826,1.180,108
2015,CYA,AL,mchugco01,Collin McHugh,HOU,5.0,0.0,2%,2.6,19,7,.731,3.89,32,32,0,0,0,0,203.2,207,89,88,19,53,2,171,9,0,5,859,1.277,100
2015,CYA,AL,klubeco01,Corey Kluber,CLE,4.0,0.0,2%,4.3,9,16,.360,3.49,32,32,0,4,0,0,222.0,189,92,86,22,45,3,245,11,1,6,886,1.054,123
2015,CYA,AL,estrama01,Marco Estrada,TOR,3.0,0.0,1%,3.8,13,8,.619,3.13,34,28,3,0,0,0,181.0,134,67,63,24,55,2,131,5,0,2,725,1.044,131
2015,CYA,AL,millean01,Andrew Miller,NYY,3.0,0.0,1%,2.3,3,2,.600,2.04,60,0,53,0,0,36,61.2,33,16,14,5,20,1,100,5,0,2,246,0.859,200
2015,CYA,AL,tollesh01,Shawn Tolleson,TEX,3.0,0.0,1%,1.8,6,4,.600,2.99,73,0,53,0,0,35,72.1,66,25,24,9,17,5,76,2,0,0,298,1.147,142
2015,CYA,AL,carraca01,Carlos Carrasco,CLE,2.0,0.0,1%,3.9,14,12,.538,3.63,30,30,0,3,1,0,183.2,154,75,74,18,43,2,216,5,0,5,730,1.073,119
2015,CYA,AL,betande01,Dellin Betances,NYY,1.0,0.0,0%,3.9,6,4,.600,1.50,74,0,17,0,0,9,84.0,45,17,14,6,40,2,131,3,0,9,332,1.012,271
2015,CYA,NL,arrieja01,Jake Arrieta,CHC,169.0,17.0,80%,8.3,22,6,.786,1.77,33,33,0,4,3,0,229.0,150,52,45,10,48,2,236,6,0,6,870,0.865,215
2015,CYA,NL,greinza01,Zack Greinke,LAD,147.0,10.0,70%,8.9,19,3,.864,1.66,32,32,0,1,0,0,222.2,148,43,41,14,40,1,200,5,0,7,843,0.844,222
2015,CYA,NL,kershcl01,Clayton Kershaw,LAD,101.0,3.0,48%,7.3,16,7,.696,2.13,33,33,0,4,3,0,232.2,163,62,55,15,42,1,301,5,3,9,890,0.881,173
2015,CYA,NL,colege01,Gerrit Cole,PIT,40.0,0.0,19%,4.3,19,8,.704,2.60,32,32,0,0,0,0,208.0,183,71,60,11,44,1,202,10,0,7,832,1.091,149
2015,CYA,NL,scherma01,Max Scherzer,WSN,32.0,0.0,15%,6.9,14,12,.538,2.79,33,33,0,4,3,0,228.2,176,74,71,27,34,2,276,5,1,10,899,0.918,142
2015,CYA,NL,bumgama01,Madison Bumgarner,SFG,8.0,0.0,4%,5.0,18,9,.667,2.93,32,32,0,4,2,0,218.1,181,73,71,21,39,2,234,7,0,1,869,1.008,131
2015,CYA,NL,degroja01,Jacob deGrom,NYM,7.0,0.0,3%,5.2,14,8,.636,2.54,30,30,0,0,0,0,191.0,149,59,54,16,38,2,205,2,0,6,751,0.979,149
2015,CYA,NL,melanma01,Mark Melancon,PIT,5.0,0.0,2%,1.8,3,2,.600,2.23,78,0,63,0,0,51,76.2,57,22,19,4,14,2,62,2,0,3,293,0.926,174
2015,CYA,NL,lackejo01,John Lackey,STL,1.0,0.0,0%,5.8,13,10,.565,2.77,33,33,0,1,0,0,218.0,211,71,67,21,53,5,175,4,3,5,896,1.211,142
2015,MVP,AL,donaljo02,Josh Donaldson,TOR,385.0,23.0,92%,7.1,158,620,122,184,41,123,6,73,.297,.371,.568,.939,,,,,,,,,,,,
2015,MVP,AL,troutmi01,Mike Trout,LAA,304.0,7.0,72%,9.6,159,575,104,172,41,90,11,92,.299,.402,.590,.991,,,,,,,,,,,,
2015,MVP,AL,cainlo01,Lorenzo Cain,KCR,225.0,0.0,54%,7.0,140,551,101,169,16,72,28,37,.307,.361,.477,.838,,,,,,,,,,,,
2015,MVP,AL,machama01,Manny Machado,BAL,158.0,0.0,38%,7.5,162,633,102,181,35,86,20,70,.286,.359,.502,.861,,,,,,,,,,,,
2015,MVP,AL,keuchda01,Dallas Keuchel,HOU,107.0,0.0,25%,6.6,2,5,0,1,0,0,0,0,.200,.200,.200,.400,20,8,2.48,1.017,33,33,0,232.0,185,17,51,216
2015,MVP,AL,cruzne02,Nelson Cruz,SEA,94.0,0.0,22%,5.1,152,590,90,178,44,93,3,59,.302,.369,.566,.936,,,,,,,,,,,,
2015,MVP,AL,beltrad01,Adrian Beltre,TEX,83.0,0.0,20%,4.4,143,567,83,163,18,83,1,41,.287,.334,.453,.788,,,,,,,,,,,,
2015,MVP,AL,bautijo02,Jose Bautista,TOR,82.0,0.0,20%,4.8,153,543,108,136,40,114,8,110,.250,.377,.536,.913,,,,,,,,,,,,
2015,MVP,AL,priceda01,David Price,TOT,62.0,0.0,15%,6.1,3,9,0,0,0,0,0,0,.000,.000,.000,.000,18,5,2.45,1.076,32,32,0,220.1,190,17,47,225
2015,MVP,AL,altuvjo01,Jose Altuve,HOU,44.0,0.0,10%,4.0,154,638,86,200,15,66,38,33,.313,.353,.459,.812,,,,,,,,,,,,
2015,MVP,AL,cabremi01,Miguel Cabrera,DET,40.0,0.0,10%,4.9,119,429,64,145,18,76,1,77,.338,.440,.534,.974,,,,,,,,,,,,
